game,avg_playtime
"Eastside Hockey Manager",1295.0
"Baldur's Gate II Enhanced Edition",475.255555555556
"FIFA Manager 09",411.0
Perpetuum,400.975
"Football Manager 2014",391.984615384615
"Football Manager 2012",390.453164556962
"Football Manager 2010",375.048571428571
"Football Manager 2011",365.703225806452
"Freaking Meatbags",331.0
"Out of the Park Baseball 16",330.4
"Football Manager 2015",315.364935064935
"Football Manager 2013",310.659615384615
"FINAL FANTASY XIV A Realm Reborn",300.840909090909
"Worldwide Soccer Manager 2009",295.0
"X-Plane 10 Global - 64 Bit",268.025
"NOBUNAGA'S AMBITION Kakushin with Power Up Kit",267.0
Counter-Strike,236.375176056338
"Counter-Strike Global Offensive",234.402033405955
"FIFA Manager 11",229.0
"MLB 2K10",228.0
"Avernum 4",228.0
"Avernum 5",222.0
"Marvel Puzzle Quest",211.288888888889
"Sword of the Stars Complete Collection",209.55
"Pro Evolution Soccer 2015",208.375
"Dota 2",202.785498863871
"Europa Universalis IV",195.18
"Cultures - Northland",194.0
"Football Manager 2009",185.86
"Silent Hunter Wolves of the Pacific U-Boat Missions",185.0
"King's Bounty Dark Side",183.0
"Mount & Blade Warband",182.626548672566
"Uncharted Waters Online",181.0
"Sid Meier's Civilization V",180.18285198556
"Disciples III Reincarnation",179.15
"Pro Cycling Manager 2014",177.5
Scarygirl,173.0
"Silent Hunter Wolves of the Pacific",172.4
"Imperial Glory",170.0
"Prime World",169.0375
"Sid Meier's Civilization IV Beyond the Sword",168.056
"Movie Studio 13 Platinum - Steam Powered",166.0
"Stargate Resistance",162.0
Empires,156.1
"King's Bounty Warriors of the North",153.257142857143
"Arma 3",153.22101910828
"Supreme Ruler Cold War",150.133333333333
"STORM Frontline Nation",149.48
"Nobunaga's Ambition Souzou with Power Up Kit",148.333333333333
"Guild Wars",147.925
"Call of Duty Modern Warfare 2 - Multiplayer",144.363917525773
"The Treasures of Montezuma 4",138.6
"Out of the Park Baseball 15",137.3
"Total War ROME II - Emperor Edition",136.552287581699
"NBA 2K15",135.735
"Baldur's Gate Enhanced Edition",134.560869565217
"Counter-Strike Source",134.371328671329
"Distant Worlds Universe",132.0
"Battle Nations",131.4
"Eschalon Book 2",128.0
"Sigils of Elohim",127.4
"Winning Post 8 2015",127.0
"Fieldrunners 2",124.533333333333
Mabinogi,124.04
"Bard's Gold",119.0
"Crusader Kings II",118.693421052632
"Shattered Union",116.0
"Pro Cycling Manager 2013",107.666666666667
"OMSI 2",107.56
"MLB 2K11",107.0
"Call of Duty Modern Warfare 3 - Multiplayer",105.117346938776
"The Elder Scrolls V Skyrim",104.710930576071
"Might & Magic Duel of Champions",104.657142857143
"Out of the Park Baseball 14",103.0
"Might & Magic Heroes VI",100.963414634146
"Kingdoms CCG",100.4
"Stronghold Kingdoms",100.065957446809
Nightbanes,99.0
"Empire Total War",98.2724299065421
"Build-A-Lot 4",97.0
Glare,95.0
