purchased_games,number_of_users
1,5700
2,1476
3,827
4,633
5,403
6,437
7,258
8,271
9,199
10,171
11,121
12,120
13,105
14,81
15,78
16,90
17,62
18,52
19,44
20,57
21,54
22,49
23,40
24,26
25,33
26,29
27,49
28,31
29,21
30,32
31,27
32,18
33,24
34,21
35,26
36,9
37,22
38,13
39,17
40,13
41,16
42,20
43,16
44,15
45,8
46,11
47,14
48,11
49,16
50,6
51,10
52,8
53,8
54,11
55,9
56,7
57,6
58,8
59,9
60,5
61,10
62,6
63,11
64,5
65,3
66,9
67,5
68,7
69,4
70,6
71,5
72,6
73,3
74,3
75,3
76,4
77,8
78,5
79,4
80,7
81,5
82,6
83,3
84,1
85,6
86,1
87,2
88,6
89,5
90,5
91,6
92,3
93,4
94,3
95,8
96,3
97,3
98,5
99,3
100,3
101,6
102,5
103,2
104,3
105,2
106,1
107,3
108,4
109,3
110,5
111,2
112,2
113,4
114,2
115,3
116,1
117,5
118,1
119,2
120,3
121,1
122,1
123,2
124,4
125,2
126,2
127,4
128,2
129,4
130,7
132,2
133,1
135,1
136,3
137,1
139,2
140,1
141,1
143,2
144,3
145,2
149,2
150,3
151,4
152,2
154,3
156,1
157,3
158,4
159,3
160,1
161,1
162,1
163,1
164,2
165,1
166,1
167,1
168,1
169,4
170,4
172,2
173,1
174,1
177,4
178,1
180,1
183,1
185,2
187,3
189,2
193,2
195,1
196,2
197,1
202,1
209,1
212,1
213,1
217,2
221,1
224,1
226,2
227,1
228,2
230,1
232,1
235,1
238,1
240,1
244,1
246,1
249,1
250,1
251,2
257,1
259,1
276,2
281,1
287,1
288,1
289,1
295,1
300,1
301,2
304,1
310,1
316,1
326,1
331,1
340,1
348,1
359,1
370,1
378,1
389,1
399,1
413,2
415,1
416,1
427,1
429,1
444,1
449,1
455,1
474,1
480,1
505,1
516,1
554,1
565,1
584,1
588,1
592,1
597,1
666,1
759,1
776,1
1068,1
