game,total_purchasers,total_players,total_playtime,avg_playtime_per_player,conversion_rate
"Dota 2",4841,4841,981684.6,202.785498863871,100.0
"Team Fortress 2",2323,2323,173673.3,74.7625053809729,100.0
Unturned,1563,1069,16096.4,15.0574368568756,68.39
"Counter-Strike Global Offensive",1412,1377,322771.6,234.402033405955,97.52
"Half-Life 2 Lost Coast",981,177,184.4,1.04180790960452,18.04
"Counter-Strike Source",978,715,96075.5,134.371328671329,73.11
"Left 4 Dead 2",951,801,33596.7,41.9434456928839,84.23
Counter-Strike,856,568,134261.1,236.375176056338,66.36
Warframe,847,424,27074.6,63.8551886792453,50.06
"Half-Life 2 Deathmatch",823,198,3712.9,18.7520202020202,24.06
"Garry's Mod",731,666,49725.3,74.6626126126126,91.11
"The Elder Scrolls V Skyrim",717,677,70889.3,104.710930576071,94.42
Robocraft,689,407,9096.6,22.3503685503686,59.07
"Counter-Strike Condition Zero",679,225,7950.0,35.3333333333333,33.14
"Counter-Strike Condition Zero Deleted Scenes",679,94,418.2,4.44893617021277,13.84
"Heroes & Generals",658,335,3299.5,9.84925373134328,50.91
"Half-Life 2",639,356,4260.3,11.9671348314607,55.71
"Sid Meier's Civilization V",596,554,99821.3,180.18285198556,92.95
"War Thunder",590,303,14381.6,47.4640264026403,51.36
Portal,588,417,2282.8,5.47434052757794,70.92
"Portal 2",544,453,9117.1,20.1260485651214,83.27
"Day of Defeat",534,94,1351.5,14.3776595744681,17.6
"Deathmatch Classic",524,32,23.7,0.740625,6.11
Ricochet,524,21,21.2,1.00952380952381,4.01
Terraria,496,460,29951.8,65.1126086956522,92.74
"No More Room in Hell",438,230,1321.2,5.74434782608696,52.51
"Borderlands 2",429,386,22667.9,58.7251295336788,89.98
"PAYDAY 2",427,390,19613.8,50.2917948717949,91.33
"Day of Defeat Source",409,166,4840.3,29.1584337349398,40.59
"Counter-Strike Nexon Zombies",395,184,2014.1,10.9461956521739,46.58
"Half-Life 2 Episode One",394,148,843.8,5.70135135135135,37.56
"PlanetSide 2",390,210,6239.7,29.7128571428571,53.85
Half-Life,388,116,665.5,5.73706896551724,29.9
Trove,384,253,4818.4,19.0450592885375,65.89
"The Elder Scrolls V Skyrim - Dawnguard",378,0,0,0,0.0
"The Elder Scrolls V Skyrim - Hearthfire",367,0,0,0,0.0
"Half-Life Opposing Force",366,42,171.4,4.08095238095238,11.48
"Team Fortress Classic",366,26,22.7,0.873076923076923,7.1
"Half-Life 2 Episode Two",365,141,1120.2,7.94468085106383,38.63
"The Elder Scrolls V Skyrim - Dragonborn",365,0,0,0,0.0
"Half-Life Blue Shift",363,46,100.3,2.1804347826087,12.67
Loadout,358,177,1399.8,7.90847457627119,49.44
Nosgoth,354,171,1320.9,7.72456140350877,48.31
"Dead Island Epidemic",353,127,742.0,5.84251968503937,35.98
"Call of Duty Modern Warfare 2",343,297,8635.4,29.0754208754209,86.59
"Call of Duty Modern Warfare 2 - Multiplayer",343,291,42009.9,144.363917525773,84.84
"Path of Exile",339,191,10185.6,53.3277486910995,56.34
"Fallout New Vegas",337,287,14832.9,51.6825783972125,85.16
Warface,329,167,2108.1,12.6233532934132,50.76
"Dirty Bomb",323,195,1390.3,7.12974358974359,60.37
"Tom Clancy's Ghost Recon Phantoms - NA",314,133,4910.8,36.9233082706767,42.36
"Metro 2033",312,175,1565.7,8.94685714285714,56.09
"Marvel Heroes 2015",301,111,3219.8,29.0072072072072,36.88
"BioShock Infinite",296,212,3689.1,17.4014150943396,71.62
"Alien Swarm",289,289,1505.0,5.2076124567474,100.0
Neverwinter,288,136,3451.5,25.3786764705882,47.22
"Grand Theft Auto IV",281,226,4686.3,20.7358407079646,80.43
"Left 4 Dead",281,204,8659.9,42.4504901960784,72.6
"PAYDAY The Heist",277,202,1514.0,7.4950495049505,72.92
"Grand Theft Auto V",273,269,22956.7,85.3408921933085,98.53
"Arma 2",269,147,825.5,5.6156462585034,54.65
"Half-Life Deathmatch Source",268,14,10.5,0.75,5.22
"Empire Total War",263,214,21030.3,98.2724299065421,81.37
"APB Reloaded",262,138,9237.2,66.936231884058,52.67
"Saints Row The Third",259,197,4954.1,25.1477157360406,76.06
"FreeStyle2 Street Basketball",257,91,923.5,10.1483516483516,35.41
"The Witcher 2 Assassins of Kings Enhanced Edition",257,170,3254.3,19.1429411764706,66.15
"Tomb Raider",257,204,3184.3,15.6093137254902,79.38
