user_id,games_purchased,games_played,total_playtime,avg_playtime_per_game
5250,21,6,225.5,37.5833333333333
76767,36,20,1227.0,61.35
86540,82,15,255.0,17.0
103360,10,0,0,0
144736,8,1,0.1,0.1
181212,12,2,2.2,1.1
229911,27,18,390.5,21.6944444444444
298950,259,175,3745.4,21.4022857142857
299153,14,0,0,0
381543,10,1,3.0,3.0
547685,25,5,512.6,102.52
554278,28,9,281.0,31.2222222222222
561758,144,80,1040.9,13.01125
577614,8,1,36.0,36.0
604988,8,0,0,0
622362,10,4,71.0,17.75
635733,8,1,0.6,0.6
683019,13,2,42.9,21.45
714122,10,3,3.5,1.16666666666667
748719,30,15,1487.2,99.1466666666667
835015,8,0,0,0
861238,9,3,1.9,0.633333333333333
871990,12,3,134.2,44.7333333333333
937567,17,2,1.4,0.7
948368,14,3,88.5,29.5
975449,378,202,2165.0,10.7178217821782
976129,8,1,0.5,0.5
983600,12,1,55.0,55.0
994489,23,6,1396.2,232.7
1006880,8,0,0,0
1024319,8,1,12.1,12.1
1072465,15,6,102.7,17.1166666666667
1129452,22,13,671.4,51.6461538461538
1135775,8,1,1.3,1.3
1268792,8,1,0.5,0.5
1364546,9,2,553.9,276.95
1423371,9,1,241.0,241.0
1601069,8,0,0,0
1601773,10,0,0,0
1603625,8,0,0,0
1612666,28,17,167.1,9.82941176470588
1665511,8,0,0,0
1699101,8,1,0.5,0.5
1713646,12,1,0.7,0.7
1834453,12,2,197.0,98.5
1851828,10,0,0,0
1936551,151,86,826.3,9.60813953488372
1950243,77,44,505.4,11.4863636363636
1971801,10,0,0,0
2039434,16,3,79.3,26.4333333333333
2083767,61,32,469.4,14.66875
2087859,14,0,0,0
2110581,35,28,292.5,10.4464285714286
2184507,12,3,6.2,2.06666666666667
2259650,196,111,2067.4,18.6252252252252
2382003,8,0,0,0
2428602,15,2,474.4,237.2
2531540,29,7,84.6,12.0857142857143
2613043,8,1,0.2,0.2
2643609,49,29,769.5,26.5344827586207
2753525,115,57,1238.6,21.7298245614035
3001740,10,0,0,0
3054990,8,1,60.0,60.0
3238976,8,1,5.5,5.5
3244702,12,3,68.5,22.8333333333333
3249166,8,1,23.0,23.0
3347312,8,1,0.8,0.8
3372923,10,0,0,0
3449240,98,57,2038.8,35.7684210526316
3450426,8,5,2.7,0.54
3498717,12,1,0.2,0.2
3527485,23,15,529.9,35.3266666666667
3614782,14,0,0,0
3663009,12,1,0.9,0.9
3674653,8,1,772.0,772.0
3747293,12,1,8.1,8.1
3783783,27,19,1460.9,76.8894736842105
3897969,8,1,0.2,0.2
3974133,8,0,0,0
3979930,27,17,395.6,23.2705882352941
4064412,11,4,1394.7,348.675
4156158,8,1,9.7,9.7
4318904,8,0,0,0
4325465,8,1,0.6,0.6
4485779,8,1,1697.0,1697.0
4595423,27,9,22.7,2.52222222222222
4603800,10,1,1.6,1.6
