game,total_purchasers,purchased_and_played,conversion_rate
"007 Legends",1,1,100.0
0RBITALIS,3,3,100.0
"10,000,000",1,1,100.0
"15 Days",1,1,100.0
"1701 A.D. Sunken Dragon",1,1,100.0
"1953 NATO vs Warsaw Pact",1,1,100.0
1Quest,1,1,100.0
"3 Stars of Destiny",1,1,100.0
"3089 -- Futuristic Action RPG",1,1,100.0
"3D Mini Golf",1,1,100.0
3DMark,18,18,100.0
"3DMark 11",1,1,100.0
"3DMark Vantage",1,1,100.0
"4 Elements",4,4,100.0
"500 Years Act 1",1,1,100.0
"9 Clues 2 The Ward",1,1,100.0
"A.R.E.S. Extinction Agenda EX",1,1,100.0
"AKIBA'S TRIP Undead & Undressed",2,2,100.0
APOX,1,1,100.0
"Abandoned Chestnut Lodge Asylum",1,1,100.0
Abducted,1,1,100.0
"Absolute Drift",3,3,100.0
Achron,3,3,100.0
"Action! - Gameplay Recording and Streaming",3,3,100.0
"Actual Sunlight",1,1,100.0
"Adventure Chronicles The Search For Lost Treasure",1,1,100.0
"Adventure Park",1,1,100.0
"Adventure Time  Explore the Dungeon Because I DONT KNOW!",1,1,100.0
"Adventures of Bertram Fiddle Episode 1 A Dreadly Business",1,1,100.0
"Aeon Command",3,3,100.0
"Afterfall InSanity - Dirty Arena Edition",2,2,100.0
"Afterlife Empire",1,1,100.0
"Age of Chivalry",58,58,100.0
"Aion Collectors Edition",1,1,100.0
"Air Brawl",2,2,100.0
"Airline Tycoon Deluxe",1,1,100.0
"Airport Madness World Edition",1,1,100.0
"Akaneiro Demon Hunters",1,1,100.0
Akuatica,1,1,100.0
"Albino Lullaby Episode 1",1,1,100.0
"Alex Hunter - Lord of the Mind",1,1,100.0
"Alien Shooter Revisited",1,1,100.0
"Alien Shooter Vengeance",3,3,100.0
"Alien Swarm",289,289,100.0
"Alter World",1,1,100.0
"Amazing Adventures Around the World",1,1,100.0
"Amazing Adventures The Lost Tomb",1,1,100.0
"Amazing Princess Sarah",1,1,100.0
"Amnesia Memories",2,2,100.0
"An Assassin in Orlandes",1,1,100.0
"Ancient Planet",1,1,100.0
"Angels Fall First",3,3,100.0
"Angry Birds Space",1,1,100.0
Angvik,1,1,100.0
"Anna's Quest",2,2,100.0
"Anno 2205",1,1,100.0
Apollo4x,1,1,100.0
Apotheon,5,5,100.0
"Aqua Kitty - Milk Mine Defender",2,2,100.0
"Arcane Worlds",1,1,100.0
"Armada 2526",3,3,100.0
Armello,2,2,100.0
Armikrog,1,1,100.0
"ArtRage Studio Pro",1,1,100.0
"Assassin's Creed Syndicate",3,3,100.0
"Assault Android Cactus",2,2,100.0
Asteria,1,1,100.0
"Asteroids Outpost",1,1,100.0
"Audiosurf 2",7,7,100.0
"Aura Fate of the Ages",3,3,100.0
"Autobahn Police Simulator",2,2,100.0
Autocraft,1,1,100.0
"Automation - The Car Company Tycoon Game",2,2,100.0
"Azure Striker Gunvolt",1,1,100.0
B.U.T.T.O.N.,1,1,100.0
"BAD END",1,1,100.0
"Babel Rising",2,2,100.0
"Ballad of Solar",1,1,100.0
"Bard's Gold",1,1,100.0
"Battle Academy",1,1,100.0
"Battle Academy 2 Eastern Front",1,1,100.0
"Battle Brothers",1,1,100.0
"Battle Los Angeles",1,1,100.0
"Battle of Empires  1914-1918",3,3,100.0
"Battleplan American Civil War",1,1,100.0
"Beast Boxing Turbo",2,2,100.0
"Beasts of Prey",4,4,100.0
Bedlam,1,1,100.0
"Bejeweled 2 Deluxe",3,3,100.0
"Bejeweled Deluxe",1,1,100.0
"Better Late Than DEAD",1,1,100.0
"Bientt l't",1,1,100.0
"Big Brain Wolf",2,2,100.0
"Big Money! Deluxe",1,1,100.0
"Big Pharma",3,3,100.0
"Black Ice",1,1,100.0
"Black Ink",3,3,100.0
"Blacklight Tango Down",2,2,100.0
"Blitzkrieg 2 Anthology",3,3,100.0
"Block Story",1,1,100.0
Blockscape,1,1,100.0
"Blood Bowl 2",6,6,100.0
"Blood One Unit Whole Blood",3,3,100.0
"BloodLust Shadowhunter",1,1,100.0
"Bloodbath Kavkaz",1,1,100.0
"Bloody Trapland",13,13,100.0
"Bloons TD5",8,8,100.0
"Blue Rose",1,1,100.0
"Bob Came in Pieces",4,4,100.0
"Bob Was Hungry",2,2,100.0
"Boo Bunny Plague",1,1,100.0
"BookWorm Adventures Volume 2",2,2,100.0
"Booster Trooper",3,3,100.0
"Borderless Gaming",1,1,100.0
"Boson X",6,6,100.0
Breezeblox,1,1,100.0
"Broken Sword 4 - the Angel of Death",1,1,100.0
"Buccaneer The Pursuit of Infamy",1,1,100.0
Build-A-Lot,1,1,100.0
"Build-A-Lot 2",1,1,100.0
"Build-A-Lot 4",1,1,100.0
"Bullet Heaven 2",1,1,100.0
"Buzz Aldrin's Space Program Manager",1,1,100.0
"CAFE 0 ~The Drowned Mermaid~",1,1,100.0
"CID The Dummy",1,1,100.0
CRYENGINE,1,1,100.0
CRYPTARK,1,1,100.0
"Cabela's African Adventures",1,1,100.0
"Cabela's Dangerous Hunts 2013",1,1,100.0
"Cabela's Hunting Expeditions",1,1,100.0
"Cabelas Trophy Bucks",1,1,100.0
"Call of Juarez The Cartel",16,16,100.0
"Call to Arms",3,3,100.0
"CameraBag 2",1,1,100.0
"Cannon Brawl",3,3,100.0
"Captain Forever Remix",1,1,100.0
"Car Mechanic Simulator 2015",13,13,100.0
Caribbean!,1,1,100.0
"Carnage Racing",1,1,100.0
"Cast of the Seven Godsends",1,1,100.0
"Castaway Paradise",1,1,100.0
"Castle In The Darkness",1,1,100.0
"Castle Never Judge a Book by its Cover",1,1,100.0
"Castle of Illusion",1,1,100.0
"Catmouth Island",1,1,100.0
"Chainsaw Warrior",2,2,100.0
"Chainsaw Warrior Lords of the Night",2,2,100.0
"Championship Manager 2008",1,1,100.0
"Championship Manager 2010",1,1,100.0
Chessmaster,1,1,100.0
"Chip's Challenge 2",1,1,100.0
"Chocolatier Decadence by Design",1,1,100.0
"Choice Chamber",1,1,100.0
"Choice of Robots",1,1,100.0
"Choice of the Deathless",1,1,100.0
"Chris Sawyer's Locomotion",1,1,100.0
"Chronicles of a Dark Lord Episode 1 Tides of Fate Complete",2,2,100.0
"Chuzzle Deluxe",1,1,100.0
Citadels,1,1,100.0
"Cities XL",2,2,100.0
"Civil War II",1,1,100.0
"Clash of Puppets",1,1,100.0
"Clockwork Empires",1,1,100.0
"Clockwork Tales Of Glass and Ink",3,3,100.0
"Close Combat - Gateway to Caen",1,1,100.0
"Cloud Chamber",1,1,100.0
"Cloudberry Kingdom",1,1,100.0
"Cloudy with a Chance of Meatballs",1,1,100.0
"Codename Gordon",11,11,100.0
"Codename Panzers - Cold War",2,2,100.0
"Coffin Dodgers",4,4,100.0
Collapse,2,2,100.0
"Colonial Conquest",1,1,100.0
"Comanche 4",1,1,100.0
"Commander Conquest of the Americas",5,5,100.0
"Community College Hero Trial by Fire",1,1,100.0
Coniclysm,1,1,100.0
"Constant C",1,1,100.0
Convoy,2,2,100.0
Cosmonautica,3,3,100.0
Cosmophony,1,1,100.0
Cradle,3,3,100.0
Crawl,1,1,100.0
CreaVures,1,1,100.0
"Creeper World 3 Arc Eternal",4,4,100.0
"Cricket Captain 2014",2,2,100.0
"Critter Crunch",1,1,100.0
"Crusaders Thy Kingdom Come",1,1,100.0
"Crysis 2",7,7,100.0
Cubot,1,1,100.0
"Cultures - Northland",1,1,100.0
Cyto,1,1,100.0
"D.I.P.R.I.P. Warm Up",14,14,100.0
D.U.S.T.,1,1,100.0
"D4 Dark Dreams Don't Die",1,1,100.0
"DC Universe Online",154,154,100.0
"DCS Black Shark",1,1,100.0
"Damnation City of Death",1,1,100.0
"Dangerous High School Girls in Trouble!",2,2,100.0
"Dangerous Waters",1,1,100.0
"Dark Arcana The Carnival",2,2,100.0
"Dark Echo",1,1,100.0
DarkEnd,1,1,100.0
Darkstone,1,1,100.0
Daylight,3,3,100.0
"Dead Mountaineer's Hotel",1,1,100.0
"Dead State",2,2,100.0
"Dead or Alive 5 Last Round",1,1,100.0
"Death Skid Marks",1,1,100.0
Deathtrap,2,2,100.0
"Delta Force 2",1,1,100.0
"Dementium II HD",3,3,100.0
"Demon Hunter Chronicles from Beyond",1,1,100.0
"Depths of Peril",1,1,100.0
Descent,3,3,100.0
"Descent 2",2,2,100.0
"Desktop Dungeons",3,3,100.0
"Desperados - Wanted Dead or Alive",2,2,100.0
"Devil May Cry 4 Special Edition",3,3,100.0
"Diamond Dan",1,1,100.0
"Diaper Dash",1,1,100.0
"Diner Dash Hometown Hero",1,1,100.0
"DinerTown Tycoon",1,1,100.0
"Disciples Sacred Lands Gold",1,1,100.0
"Disney Infinity 2.0",1,1,100.0
"Distant Worlds Universe",1,1,100.0
"Dive to the Titanic",1,1,100.0
"Divinity II - Ego Draconis",2,2,100.0
"Doctor Who The Eternity Clock",2,2,100.0
Dodge,1,1,100.0
"Dominions 4",2,2,100.0
"Don Bradman Cricket 14",1,1,100.0
"Doodle God",1,1,100.0
"Dota 2",4841,4841,100.0
"Down To One",1,1,100.0
"Draconian Wars",1,1,100.0
"Dragon Age II",5,5,100.0
"Dragon Age Origins Character Creator",8,8,100.0
"Dragon The Game",1,1,100.0
"Dragon's Lair 2 Time Warp",1,1,100.0
"Drawn The Painted Tower",1,1,100.0
Droplitz,8,8,100.0
"Duck Dynasty",1,1,100.0
"Duck Game",7,7,100.0
"Dungeon Souls",2,2,100.0
"Dungeons & Dragons Daggerdale",6,6,100.0
"Dungeons 2",6,6,100.0
"Dustoff Heli Rescue",1,1,100.0
"Dynasty Warriors 8 - Empires",2,2,100.0
"Dynomite! Deluxe",1,1,100.0
"Dysan the Shapeshifter",1,1,100.0
ENKI,1,1,100.0
"East India Company Pirate Bay",1,1,100.0
"East India Company Privateer",1,1,100.0
"Eastside Hockey Manager",1,1,100.0
"Eaten Alive",1,1,100.0
Echelon,1,1,100.0
"Echo of the Wilds",1,1,100.0
"Eden Star  Destroy - Build - Protect",3,3,100.0
"Electronic Super Joy",8,8,100.0
Eleusis,1,1,100.0
"Else Heart.Break()",1,1,100.0
"Emergency 2012",1,1,100.0
"Emergency 2013",2,2,100.0
"Emergency 5 - Deluxe Edition",1,1,100.0
Empires,5,5,100.0
"Empyrion - Galactic Survival",7,7,100.0
"Enemy Front",5,5,100.0
"Enforcer Police Crime Action",3,3,100.0
"Enigmatis The Ghosts of Maple Creek",2,2,100.0
"Environmental Station Alpha",1,1,100.0
Eradicator,1,1,100.0
"Escape Goat",3,3,100.0
"Eschalon Book 1",1,1,100.0
"Estranged Act I",12,12,100.0
"Eternal Silence",10,10,100.0
"European Ship Simulator",1,1,100.0
"EverQuest Secrets of Faydwer",1,1,100.0
"EverQuest Seeds of Destruction",1,1,100.0
"Everyday Genius SquareLogic",1,1,100.0
"Evochron Mercenary",5,5,100.0
Evolve,34,34,100.0
"Executive Assault",1,1,100.0
"F1 2010",6,6,100.0
"F1 2014",8,8,100.0
"F1 Race Stars",4,4,100.0
"FIFA Manager 09",1,1,100.0
"FIFA Manager 11",1,1,100.0
FLOCK!,1,1,100.0
FRONTIERS,1,1,100.0
"FX Football - The Manager for Every Football Fan",3,3,100.0
FaceRig,13,13,100.0
"Fading Hearts",2,2,100.0
"Fair Strike",1,1,100.0
"Fairy Tale Mysteries The Puppet Thief Collector's Edition",1,1,100.0
"Fall of the New Age Premium Edition",1,1,100.0
"Fallen Enchantress",4,4,100.0
"Family Guy Back to the Multiverse",1,1,100.0
"Fancy Skulls",2,2,100.0
"Farlight Explorers",1,1,100.0
"Farm for your Life",2,2,100.0
"Farming Giant",1,1,100.0
"Farming Simulator 2011",8,8,100.0
"Fast & Furious Showdown",1,1,100.0
"Fatty Maze's Adventures",1,1,100.0
