total_playtime,number_of_users
0.1,141
0.2,276
0.3,229
0.3,2
0.4,225
0.5,193
0.6,183
0.6,6
0.7,175
0.8,4
0.8,157
0.9,3
0.9,99
1.0,135
1.1,1
1.1,103
1.2,106
1.2,1
1.3,2
1.3,91
1.4,92
1.4,3
1.5,85
1.6,4
1.6,82
1.7,91
1.7,5
1.8,2
1.8,70
1.9,70
1.9,5
2.0,57
2.1,2
2.1,57
2.2,1
2.2,65
2.3,51
2.3,1
2.4,53
2.4,2
2.5,59
2.6,1
2.6,47
2.7,2
2.7,43
2.8,52
2.8,2
2.9,41
2.9,2
3.0,52
3.1,4
3.1,39
3.2,40
3.3,27
3.3,3
3.4,34
3.4,1
3.5,29
3.6,3
3.6,32
3.7,4
3.7,34
3.8,35
3.8,4
3.9,32
3.9,2
4.0,33
4.1,22
4.1,1
4.2,29
4.3,28
4.4,1
4.4,28
4.5,25
4.6,23
4.6,1
4.7,1
4.7,32
4.8,25
4.9,1
4.9,20
5.0,26
5.1,31
5.1,2
5.2,2
5.2,22
5.3,19
5.3,1
5.4,1
5.4,23
5.5,26
5.6,18
5.6,6
5.7,1
5.7,27
5.8,15
5.9,1
5.9,16
6.0,25
6.1,23
6.1,1
6.2,2
6.2,21
6.3,18
6.4,15
6.5,15
6.6,21
6.7,2
6.7,15
6.8,14
6.9,3
6.9,21
7.0,25
7.1,13
7.1,1
7.2,1
7.2,14
7.3,19
7.3,2
7.4,16
7.5,22
7.6,19
7.6,1
7.7,1
7.7,25
7.8,14
7.8,2
7.9,4
7.9,7
8.0,17
8.1,16
8.2,17
8.2,1
8.3,22
8.4,1
8.4,20
8.5,26
8.6,15
8.7,18
8.7,2
8.8,1
8.8,14
8.9,15
9.0,14
9.1,10
9.2,15
9.2,1
9.3,19
9.4,10
9.5,15
9.6,9
9.6,2
9.7,12
9.7,2
9.8,1
9.8,13
9.9,10
10.0,10
10.1,17
10.2,9
10.2,1
10.3,1
10.3,5
10.4,10
10.5,16
10.6,13
10.7,18
10.8,2
10.8,13
10.9,2
10.9,8
11.0,7
11.1,11
11.2,6
11.2,2
11.3,2
11.3,9
11.4,6
11.5,12
11.6,13
11.6,1
11.7,5
11.7,2
11.8,15
11.9,6
12.0,11
12.1,15
12.1,1
12.2,12
12.2,3
12.3,14
12.4,12
12.5,10
12.6,10
12.7,9
12.7,1
12.8,3
12.8,10
12.9,9
13.0,15
13.1,8
13.2,9
13.3,1
13.3,5
13.4,12
13.5,13
13.6,6
13.6,3
13.7,3
13.7,1
13.8,7
13.9,1
13.9,13
14.0,9
14.1,11
14.1,2
14.2,14
14.2,1
14.3,7
14.4,1
14.4,7
14.5,8
14.6,9
14.6,1
14.7,7
14.7,1
14.8,1
14.8,8
14.9,1
14.9,8
15.0,10
15.1,7
15.1,2
15.2,9
15.3,7
15.4,2
15.4,13
15.5,9
15.6,7
15.6,1
15.7,6
15.7,1
15.8,3
15.8,10
15.9,5
16.0,10
16.1,11
16.2,9
16.3,8
16.4,7
16.5,13
16.6,6
16.7,6
16.7,1
16.8,7
16.9,10
16.9,1
17.0,10
17.1,1
17.1,7
17.2,6
17.3,9
17.4,10
17.5,5
17.6,2
17.6,11
17.7,8
17.8,2
17.8,11
17.9,4
17.9,1
18.0,8
18.1,1
18.1,7
18.2,3
18.2,2
18.3,12
18.4,9
18.5,5
18.6,1
18.6,3
18.7,7
18.7,1
18.8,11
18.9,6
19.0,6
19.1,9
19.2,7
19.3,7
19.4,4
19.5,3
19.6,1
19.6,7
19.7,8
19.8,5
19.9,6
19.9,1
20.0,31
20.1,1
20.2,4
20.3,1
20.4,5
20.5,3
20.6,2
20.7,3
20.8,2
20.9,1
21.0,35
21.1,1
21.1,1
21.2,4
21.4,1
21.5,3
21.6,2
21.7,2
21.8,4
21.9,1
22.0,37
22.1,2
22.2,2
22.3,1
22.3,2
22.4,3
22.5,3
22.6,3
22.7,2
22.7,1
22.8,1
22.9,1
23.0,29
23.1,4
23.2,3
23.3,1
23.4,2
23.5,4
23.6,1
23.7,3
23.7,1
23.8,4
23.9,1
23.9,1
24.0,32
24.1,1
24.2,3
24.2,1
24.3,1
24.3,1
24.4,3
24.5,2
24.6,2
24.7,1
24.7,1
24.8,2
24.9,1
25.0,24
25.1,1
25.1,4
25.4,2
25.4,1
25.5,2
25.6,2
25.6,3
25.7,4
25.8,1
25.8,2
25.9,1
26.0,19
26.1,2
26.2,2
26.3,1
26.3,3
26.4,6
26.5,2
26.6,2
26.7,4
26.7,1
26.8,1
26.9,4
27.0,21
27.1,1
27.1,3
27.2,2
27.3,1
27.4,5
27.5,1
27.6,2
27.7,2
27.9,1
28.0,39
28.1,1
28.2,1
28.3,4
28.4,3
28.5,3
28.7,3
28.8,2
28.9,3
29.0,25
29.1,3
29.2,4
29.3,5
29.4,2
29.4,1
29.5,1
29.8,5
29.9,3
29.9,1
30.0,22
30.2,3
30.3,1
30.4,1
30.5,3
30.6,1
30.7,1
30.7,1
30.8,2
30.9,1
31.0,21
31.1,5
31.2,2
31.3,1
31.4,2
31.5,1
31.6,2
31.6,1
31.7,1
31.8,3
31.9,1
32.0,26
32.1,2
32.2,1
32.3,1
32.4,2
32.5,3
32.6,1
32.7,2
32.8,1
32.9,1
33.0,19
33.1,2
33.2,3
33.3,3
33.4,3
33.5,2
33.6,4
33.7,1
33.8,4
33.9,2
34.0,18
34.2,3
34.3,1
34.4,1
34.5,3
34.6,1
34.8,1
34.9,1
35.0,24
35.2,5
35.3,2
35.4,1
35.5,1
35.6,3
35.7,2
35.8,1
35.9,3
36.0,23
36.1,1
36.2,1
36.3,2
36.4,1
36.5,4
36.6,2
36.7,3
37.0,24
37.1,1
37.3,3
37.4,3
37.5,1
37.6,4
37.7,1
37.8,3
37.9,3
38.0,23
38.1,4
38.2,2
38.3,1
38.5,1
38.7,1
38.7,1
38.8,1
38.9,4
39.0,21
39.3,1
39.4,1
39.5,3
39.6,3
39.7,6
39.8,2
40.0,18
40.1,2
40.2,1
40.4,1
40.5,1
40.8,1
40.8,1
40.9,1
41.0,21
41.1,2
41.2,2
41.3,2
41.4,1
41.5,1
41.7,3
41.8,1
41.9,1
42.0,21
42.1,1
42.2,1
42.3,2
42.4,1
42.5,3
42.6,1
42.7,3
42.8,3
42.8,1
42.9,2
43.0,16
43.1,1
43.2,2
43.3,4
43.5,3
43.7,1
43.7,2
43.8,4
43.9,2
44.0,9
44.1,1
44.2,4
44.4,2
44.6,3
44.7,1
44.7,2
44.8,2
45.0,16
45.1,2
45.2,1
45.3,1
45.3,1
45.6,1
45.7,1
46.0,17
46.1,4
46.2,2
46.3,4
46.5,2
46.6,1
46.7,1
46.8,1
46.8,1
46.9,3
47.0,13
47.2,1
47.3,2
47.4,3
47.5,2
47.7,1
47.8,1
48.0,13
48.1,1
48.3,4
48.4,1
48.6,3
48.9,3
49.0,14
49.1,3
49.2,1
49.3,2
49.4,1
49.5,1
49.7,1
49.7,1
49.9,1
50.0,16
50.1,3
50.3,1
50.5,4
50.7,4
50.8,2
51.0,9
51.1,1
51.2,3
51.4,1
51.5,1
51.6,1
51.7,1
52.0,14
52.1,1
52.4,1
52.5,1
52.6,2
52.7,2
52.8,1
52.9,3
53.0,7
53.1,1
53.2,2
53.5,3
53.6,3
53.7,2
53.8,1
54.0,14
54.1,3
54.2,4
54.3,1
54.4,2
54.5,3
54.6,3
54.7,1
54.8,2
54.9,1
55.0,13
55.1,1
55.2,1
55.3,1
55.3,1
55.4,2
55.5,2
55.6,1
55.7,1
56.0,15
56.1,3
56.2,2
56.5,1
56.8,3
57.0,9
57.2,1
57.3,1
57.4,2
57.5,1
57.7,3
57.8,1
58.0,4
58.1,2
58.2,1
58.3,1
58.5,1
58.6,1
58.8,2
58.9,1
59.0,7
59.1,1
59.2,3
59.3,1
59.4,2
59.5,3
59.7,2
59.8,2
59.9,2
60.0,9
60.2,1
60.3,2
61.0,13
61.1,3
61.2,1
61.3,1
61.7,3
62.0,13
62.1,1
62.3,3
62.4,1
62.6,1
62.7,3
62.8,2
62.9,1
63.0,9
63.1,1
63.2,1
63.4,3
63.5,1
63.6,2
63.8,2
63.9,1
64.0,13
64.1,1
64.2,5
64.6,2
64.9,1
65.0,7
65.1,1
65.2,1
65.3,3
65.4,1
65.5,1
65.6,2
65.7,1
66.0,12
66.2,3
66.3,1
66.6,1
66.7,1
66.9,3
67.0,9
67.1,1
67.2,2
67.3,1
67.4,1
67.5,1
67.6,1
68.0,10
68.2,1
68.4,2
68.5,2
68.6,2
69.0,8
69.1,2
69.2,1
69.3,1
69.4,1
69.5,1
69.6,1
69.7,1
69.8,1
69.9,1
70.0,8
70.2,1
70.3,1
70.5,1
70.7,1
71.0,8
71.1,1
71.2,2
71.4,1
71.8,2
72.0,4
72.1,1
72.1,1
72.2,1
72.3,1
72.4,1
72.5,2
73.0,10
73.1,1
73.2,1
73.3,1
73.4,1
73.5,1
73.7,1
73.8,1
73.9,1
74.0,8
74.1,1
74.2,1
74.4,1
74.5,2
74.7,1
74.9,1
75.0,11
75.1,1
75.2,1
75.3,1
75.4,1
75.7,1
75.8,2
76.0,11
76.1,2
76.2,3
76.3,3
76.5,2
76.6,1
76.7,3
76.8,2
76.9,1
77.0,9
77.1,1
77.2,1
77.3,1
77.4,1
77.5,1
77.6,2
77.8,1
77.9,3
78.0,9
78.2,1
78.3,2
78.4,1
78.7,1
78.8,1
79.0,10
79.2,1
79.3,2
79.5,2
79.8,2
80.0,10
80.2,2
80.3,1
80.6,1
80.7,1
80.8,1
80.9,1
80.9,1
81.0,3
81.6,1
81.7,1
81.9,1
82.0,5
82.1,1
82.4,1
82.5,1
82.6,1
82.7,1
83.0,5
83.1,1
83.4,1
83.5,4
83.6,1
83.8,2
84.0,4
84.1,1
84.5,2
84.6,2
84.7,2
84.8,1
85.0,6
85.5,2
85.7,1
85.8,1
85.9,1
86.0,8
86.1,1
86.3,2
86.5,1
86.6,1
86.7,1
86.8,1
86.9,1
